structure_swing_len,retest_window_bars,retest_bps,chop_ci_max,chop_adx_min,trigger_score,rr_target,be_trigger_r,be_offset_pct,cooldown_bars,risk_pct_low_conf,risk_pct_high_conf,high_conf_score_threshold,be_enabled,sizing_mode,profile,profile_risk_cap_pct,max_notional_pct,initial_equity,trades,win_rate,net_pnl,pf,max_dd,score,dataset
3,30,24.0,58.0,22.0,6.8,2.0,1.0,0.0,5,0.8,1.2,8.2,1,risk_based,C,1.0,100.0,10000.0,27,0.7407407407407407,1126.0206946324379,3.331989437670098,0.020486602129649166,9.379650874694796,ETHUSDT_15m
2,20,24.0,66.0,20.0,7.6,2.2,1.0,0.05,5,0.6,1.2,8.6,1,risk_based,C,1.0,100.0,10000.0,16,0.8125,683.9273877201613,3.585158706730758,0.010000000000000031,9.36299480118168,ETHUSDT_4h
3,20,24.0,58.0,20.0,8.0,2.2,1.0,0.05,4,0.4,0.8,7.8,1,risk_based,C,1.0,100.0,10000.0,26,0.6923076923076923,1169.9386014463525,3.311754311240339,0.021798145917540954,9.286514324635945,ETHUSDT_15m
3,30,24.0,58.0,22.0,6.8,2.0,1.0,0.0,5,0.8,1.2,8.2,1,risk_based,C,1.0,100.0,10000.0,18,0.7777777777777778,821.8782648559645,3.4778971438173527,0.015936000000000044,9.256531219157337,SOLUSDT_1h
3,24,20.0,64.0,22.0,7.8,1.8,1.0,0.1,5,0.8,1.2,8.6,1,risk_based,C,1.0,100.0,10000.0,29,0.7586206896551724,1019.1652781505654,3.183914989033576,0.010693509449491968,9.072845762352,ETHUSDT_15m
4,30,18.0,56.0,16.0,7.8,2.4,1.0,0.0,2,0.8,0.8,8.2,1,risk_based,C,1.0,100.0,10000.0,16,0.6875,974.2352491007332,3.4282481681291497,0.03936509955276806,9.063886286700729,SOLUSDT_1h
3,16,14.0,60.0,16.0,6.8,2.2,1.2,0.0,5,0.4,0.6,8.6,1,risk_based,C,1.0,100.0,10000.0,13,0.7692307692307693,322.939524541991,3.6627589100246896,0.00798400000000016,9.038351498437523,SOLUSDT_1h
3,22,22.0,66.0,18.0,7.2,2.2,1.0,0.1,4,1.0,1.0,8.2,1,risk_based,C,1.0,100.0,10000.0,29,0.7241379310344828,1256.7608825226398,3.086494554985449,0.02242139482731445,9.028692704563317,ETHUSDT_15m
3,16,14.0,66.0,22.0,7.2,2.2,0.8,0.0,4,0.4,0.6,8.4,1,risk_based,C,1.0,100.0,10000.0,28,0.8571428571428571,431.8708451834045,3.3457747491327345,0.009976000000000006,8.93920662916316,ETHUSDT_15m
4,30,14.0,56.0,24.0,6.8,2.0,0.8,0.1,2,0.6,1.2,7.8,1,risk_based,C,1.0,100.0,10000.0,19,0.8421052631578947,627.8943700758118,3.356943792486012,0.019899999999999994,8.92523984978468,SOLUSDT_1h
4,22,24.0,66.0,20.0,8.0,2.2,0.8,0.1,2,0.6,1.0,7.8,1,risk_based,C,1.0,100.0,10000.0,18,0.7777777777777778,959.0014857713013,3.217399696303502,0.019163687212584414,8.862976483407218,ETHUSDT_4h
4,22,22.0,58.0,22.0,6.8,2.2,1.2,0.05,5,1.0,0.8,8.4,1,risk_based,C,1.0,100.0,10000.0,25,0.64,1553.6095309824923,2.9348903677906635,0.035747421347156604,8.77614800252235,ETHUSDT_15m
4,18,22.0,62.0,24.0,7.4,2.2,1.2,0.0,2,0.8,1.0,7.8,1,risk_based,C,1.0,100.0,10000.0,18,0.6111111111111112,1261.7635194575341,3.147374646337639,0.02046565260408133,8.771782520987234,SOLUSDT_15m
2,30,18.0,66.0,24.0,8.0,2.2,0.8,0.0,4,0.6,1.0,8.0,1,risk_based,C,1.0,100.0,10000.0,23,0.782608695652174,1074.7069623220195,3.08108505017888,0.03940399000000016,8.752578136158041,ETHUSDT_4h
