rank,profile,dataset,score,net_pnl,pf,max_dd,win_rate,trades,structure_swing_len,retest_window_bars,retest_bps,chop_ci_max,chop_adx_min,trigger_score,rr_target,be_enabled,be_trigger_r,be_offset_pct,cooldown_bars,sizing_mode,risk_pct_low_conf,risk_pct_high_conf,high_conf_score_threshold
1,C,ETHUSDT_4h,23.286586062050695,1466.4901550619743,10.125047953494361,0.01,0.8666666666666667,15,2,16,20.0,56.0,24.0,7.0,2.2,1,1.2,0.05,3,risk_based,0.6,1.2,8.0
2,C,ETHUSDT_4h,21.885498090760766,1713.1022650672676,9.269433206964397,0.01,0.8823529411764706,17,2,28,20.0,66.0,22.0,7.8,2.0,1,1.0,0.0,4,risk_based,1.0,1.2,8.4
3,C,ETHUSDT_4h,20.70550689204701,1314.6241145185068,8.891191388764252,0.008,0.875,16,2,16,20.0,56.0,20.0,7.2,2.2,1,1.0,0.0,3,risk_based,1.0,0.8,8.0
4,C,ETHUSDT_4h,18.75422238312975,1129.2845955149878,8.02446889380738,0.00800000000000005,0.8666666666666667,15,2,24,12.0,56.0,24.0,7.0,2.2,1,1.0,0.1,3,risk_based,0.8,0.8,8.2
5,C,SOLUSDT_1h,16.491573227473165,1184.9487869325294,6.836495553603651,0.019900000000000036,0.8888888888888888,18,4,22,18.0,56.0,22.0,6.8,2.0,1,1.0,0.05,2,risk_based,0.8,1.0,7.8
