rank,profile,dataset,score,net_pnl,pf,max_dd,win_rate,trades,structure_swing_len,retest_window_bars,retest_bps,chop_ci_max,chop_adx_min,trigger_score,rr_target,be_enabled,be_trigger_r,be_offset_pct,cooldown_bars,sizing_mode,risk_pct_low_conf,risk_pct_high_conf,high_conf_score_threshold
1,S,ETHUSDT_15m,26.018224200068335,4198.2242000683345,10.0,0.0,1.0,16,6,28,22.0,64.0,14.0,6.8,2.6,1,0.8,0.1,2,risk_based,3.0,4.0,7.8
2,S,ETHUSDT_15m,23.505656707292108,1006.3874967026277,10.352134605294742,0.00999999999999996,0.95,20,6,24,20.0,64.0,14.0,6.6,2.4,1,0.6,0.1,2,risk_based,1.0,7.5,8.2
3,S,SOLUSDT_1h,22.26756286145836,1713.851612183622,9.460038957970703,0.019899999999999855,0.8888888888888888,18,5,44,24.0,62.0,20.0,6.8,1.8,1,1.0,0.0,6,risk_based,1.0,5.0,8.4
4,S,ETHUSDT_4h,19.593927827943297,1650.0062918801978,8.245294101364882,0.019999999999999934,0.8888888888888888,9,6,32,14.0,64.0,16.0,7.8,2.2,1,0.8,0.15,3,risk_based,2.0,6.0,8.2
5,S,ETHUSDT_4h,19.205627743846545,801.1217182910641,8.504395869920598,0.01,0.8571428571428571,7,6,40,32.0,62.0,22.0,7.8,2.2,1,1.2,0.05,3,risk_based,1.0,3.5,8.8
