timestamp,open,high,low,close
1673510400,1399.9,1402.0,1395.5,1398.1
1673524800,1398.1,1407.7,1380.0,1385.3
1673539200,1385.25,1433.1,1383.2,1425.9
1673553600,1426.45,1435.95,1414.25,1415.9
1673568000,1415.9,1418.65,1401.4,1414.1
1673582400,1413.85,1414.95,1405.8,1408.4
1673596800,1408.35,1417.6,1405.1,1409.75
1673611200,1409.0,1424.4,1402.75,1421.8
1673625600,1422.0,1424.65,1406.9,1419.95
1673640000,1420.0,1464.25,1417.15,1451.0
1673654400,1451.0,1641.8,1449.2,1558.5
1673668800,1558.3,1559.4,1543.85,1554.95
1673683200,1555.2,1565.05,1507.15,1529.95
1673697600,1529.95,1545.4,1510.65,1524.95
1673712000,1524.9,1538.25,1523.7,1530.1
1673726400,1529.9,1557.4,1527.4,1549.95
1673740800,1549.9,1552.55,1516.05,1526.15
1673755200,1525.95,1530.3,1522.05,1529.5
1673769600,1529.45,1535.2,1520.2,1533.8
1673784000,1533.75,1559.75,1529.1,1556.3
1673798400,1556.2,1564.95,1533.6,1550.15
1673812800,1550.15,1561.65,1542.2,1553.0
1673827200,1553.0,1584.25,1542.35,1568.95
1673841600,1569.25,1577.55,1563.0,1566.2
1673856000,1566.2,1566.7,1526.1,1542.45
1673870400,1542.55,1552.5,1522.65,1549.7
1673884800,1549.6,1600.0,1545.55,1591.5
1673899200,1591.5,1597.6,1572.95,1576.5
1673913600,1576.5,1582.15,1541.45,1563.4
1673928000,1563.4,1575.35,1558.2,1563.6
1673942400,1563.5,1572.05,1558.2,1569.05
1673956800,1569.05,1602.3,1562.1,1571.2
1673971200,1571.15,1598.85,1564.7,1588.65
1673985600,1588.8,1592.75,1564.0,1565.3
1674000000,1565.45,1592.4,1563.05,1582.05
1674014400,1581.7,1588.25,1578.7,1582.85
1674028800,1582.85,1583.5,1571.65,1576.05
1674043200,1576.05,1607.85,1533.7,1550.05
1674057600,1549.8,1565.8,1503.15,1542.1
1674072000,1542.1,1545.0,1509.0,1512.0
1674086400,1511.7,1527.95,1510.0,1524.95
1674100800,1524.95,1532.55,1524.45,1527.9
1674115200,1528.15,1531.7,1516.7,1520.05
1674129600,1520.05,1546.3,1514.6,1533.1
1674144000,1533.2,1548.05,1523.25,1548.05
1674158400,1548.05,1548.05,1543.8,1548.05
1674172800,1548.05,1558.65,1545.5,1554.2
1674187200,1554.2,1557.0,1542.8,1550.4
1674201600,1550.5,1556.0,1545.5,1549.15
1674216000,1549.0,1568.85,1549.0,1562.9
1674230400,1562.9,1601.3,1561.2,1600.8
1674244800,1604.55,1668.75,1602.1,1658.85
1674259200,1658.75,1673.95,1643.0,1649.15
1674273600,1649.15,1654.95,1645.0,1651.2
1674288000,1651.2,1678.2,1621.95,1646.9
1674302400,1646.9,1667.25,1644.35,1646.15
1674316800,1646.9,1667.05,1645.95,1662.9
1674331200,1662.8,1667.5,1622.7,1627.15
1674345600,1627.3,1637.2,1607.3,1623.4
1674360000,1622.95,1631.7,1621.45,1626.75
1674374400,1626.75,1632.0,1619.5,1624.8
1674388800,1624.8,1650.3,1620.2,1635.0
1674403200,1635.25,1665.1,1630.1,1635.0
1674417600,1635.1,1636.1,1608.05,1627.75
1674432000,1627.8,1642.8,1626.2,1630.7
1674446400,1630.85,1638.05,1628.0,1633.55
1674460800,1633.55,1639.75,1630.9,1636.75
1674475200,1636.75,1648.65,1595.3,1620.85
1674489600,1621.55,1640.9,1610.3,1619.95
1674504000,1619.75,1636.0,1618.3,1626.45
1674518400,1626.5,1641.65,1623.0,1639.2
1674532800,1639.2,1640.85,1634.25,1636.3
1674547200,1636.4,1637.35,1614.95,1625.6
1674561600,1625.6,1631.9,1605.1,1620.6
1674576000,1620.65,1625.35,1606.65,1622.55
1674590400,1622.75,1624.55,1539.4,1556.0
1674604800,1556.0,1557.55,1523.6,1546.7
1674619200,1546.55,1557.9,1544.7,1553.0
1674633600,1553.0,1556.6,1540.4,1546.0
1674648000,1546.0,1566.35,1525.8,1544.3
1674662400,1544.35,1562.25,1541.05,1561.25
1674676800,1561.3,1640.55,1561.3,1611.55
1674691200,1612.1,1631.7,1610.45,1615.0
1674705600,1615.5,1622.15,1600.3,1605.05
1674720000,1605.05,1610.75,1595.3,1604.6
1674734400,1604.7,1620.95,1585.8,1590.4
1674748800,1589.8,1607.4,1580.1,1604.0
1674763200,1603.7,1611.0,1594.2,1601.3
1674777600,1601.3,1606.75,1556.95,1565.8
1674792000,1565.8,1586.7,1563.35,1585.8
1674806400,1585.8,1586.4,1573.5,1579.1
1674820800,1579.15,1594.15,1563.3,1578.95
1674835200,1574.45,1611.65,1574.45,1609.55
1674849600,1609.6,1621.8,1588.7,1597.4
1674864000,1597.4,1606.6,1592.4,1598.95
1674878400,1598.95,1603.6,1586.55,1593.3
1674892800,1593.2,1594.3,1580.9,1586.55
1674907200,1586.55,1586.55,1563.25,1578.55
1674921600,1578.35,1580.8,1570.45,1577.4
1674936000,1577.4,1577.85,1558.05,1572.6
1674950400,1572.6,1619.65,1567.0,1594.5
1674964800,1594.9,1599.5,1588.2,1592.4
1674979200,1592.4,1617.05,1589.15,1609.35
1674993600,1609.25,1622.5,1603.2,1611.6
1675008000,1611.6,1660.9,1605.7,1655.45
1675022400,1655.2,1656.9,1632.3,1645.35
1675036800,1645.6,1648.0,1632.5,1638.4
1675051200,1638.7,1641.8,1622.5,1627.65
1675065600,1627.2,1630.85,1578.1,1582.2
1675080000,1582.05,1596.75,1571.25,1584.8
1675094400,1584.5,1591.0,1534.7,1554.65
1675108800,1554.2,1568.4,1537.55,1566.15
1675123200,1566.3,1575.9,1562.2,1569.1
1675137600,1569.1,1580.95,1561.6,1579.95
1675152000,1579.95,1583.7,1565.6,1571.4
1675166400,1572.35,1596.3,1571.0,1588.95
1675180800,1589.2,1604.8,1586.8,1597.45
1675195200,1597.45,1601.0,1563.7,1585.4
1675209600,1585.4,1593.05,1577.35,1584.85
1675224000,1584.85,1586.2,1569.85,1575.5
1675238400,1575.5,1583.9,1566.75,1580.7
1675252800,1580.7,1589.5,1572.9,1576.0
1675267200,1575.8,1626.9,1558.6,1617.5
1675281600,1618.25,1647.8,1613.65,1641.5
1675296000,1641.7,1696.0,1639.3,1671.8
1675310400,1672.35,1676.9,1660.85,1665.25
1675324800,1665.3,1675.0,1663.5,1671.85
1675339200,1671.95,1687.1,1650.2,1678.0
1675353600,1678.2,1712.95,1666.5,1675.0
1675368000,1674.9,1685.1,1627.75,1643.75
1675382400,1643.8,1651.0,1630.9,1642.4
1675396800,1642.4,1648.2,1636.6,1638.45
1675411200,1638.45,1650.2,1632.4,1648.75
1675425600,1648.6,1672.9,1627.9,1663.15
1675440000,1663.35,1675.1,1651.05,1653.25
1675454400,1652.85,1672.0,1642.6,1663.55
1675468800,1663.55,1666.1,1650.55,1654.3
1675483200,1654.05,1660.85,1645.9,1658.35
1675497600,1658.2,1662.75,1651.5,1661.45
1675512000,1661.5,1694.75,1660.0,1680.5
1675526400,1680.5,1685.8,1672.6,1675.9
1675540800,1675.9,1687.8,1659.2,1666.6
1675555200,1666.65,1670.95,1657.5,1661.35
1675569600,1661.35,1671.3,1660.0,1668.25
1675584000,1668.25,1673.8,1661.3,1662.7
1675598400,1662.7,1665.2,1638.1,1645.05
1675612800,1645.05,1647.85,1610.0,1619.15
1675627200,1618.95,1640.0,1611.95,1629.5
1675641600,1629.65,1642.6,1618.15,1626.9
1675656000,1626.9,1635.4,1610.2,1635.0
1675670400,1635.2,1637.5,1622.65,1634.85
1675684800,1635.0,1650.1,1620.45,1648.55
1675699200,1648.65,1658.0,1640.3,1648.25
1675713600,1648.4,1649.25,1606.35,1614.5
1675728000,1614.5,1635.5,1613.1,1633.3
1675742400,1633.45,1637.9,1630.8,1631.95
1675756800,1631.95,1647.85,1628.45,1640.85
1675771200,1640.95,1645.0,1626.95,1631.5
1675785600,1631.4,1678.15,1624.6,1656.35
1675800000,1656.75,1676.7,1650.7,1670.15
1675814400,1670.15,1694.25,1667.4,1680.6
1675828800,1680.65,1682.7,1672.0,1677.55
1675843200,1677.55,1677.9,1668.45,1674.4
1675857600,1674.4,1682.6,1652.2,1653.8
1675872000,1653.2,1660.0,1631.15,1647.7
1675886400,1647.2,1655.85,1638.4,1650.0
1675900800,1650.2,1655.85,1610.0,1619.6
1675915200,1618.4,1636.75,1612.25,1630.25
1675929600,1630.35,1639.2,1630.35,1633.1
1675944000,1632.85,1648.95,1627.05,1632.65
1675958400,1632.8,1634.2,1558.3,1579.85
1675972800,1579.3,1581.8,1525.7,1545.3
1675987200,1545.45,1554.6,1542.25,1543.55
1676001600,1543.55,1552.35,1531.5,1551.1
1676016000,1550.95,1553.95,1534.4,1537.5
1676030400,1537.8,1547.8,1508.3,1522.55
1676044800,1521.95,1538.75,1515.5,1534.4
1676059200,1534.4,1535.6,1495.75,1513.2
1676073600,1513.1,1523.4,1508.45,1520.55
1676088000,1520.55,1523.4,1514.6,1520.3
1676102400,1520.3,1525.9,1516.2,1520.4
1676116800,1520.35,1526.85,1515.5,1522.9
1676131200,1522.9,1523.05,1511.2,1519.1
1676145600,1519.1,1543.45,1517.05,1538.5
1676160000,1538.55,1539.5,1530.65,1531.3
1676174400,1531.2,1534.4,1529.2,1531.0
1676188800,1531.0,1539.15,1531.0,1533.6
1676203200,1533.6,1540.4,1522.35,1535.9
1676217600,1536.0,1548.05,1534.0,1539.5
1676232000,1539.5,1542.2,1494.5,1515.2
1676246400,1515.65,1524.6,1497.25,1516.8
1676260800,1516.8,1525.75,1515.95,1522.75
1676275200,1522.95,1523.2,1470.65,1486.1
1676289600,1486.4,1491.7,1475.65,1476.0
1676304000,1476.4,1494.1,1462.7,1490.7
1676318400,1490.95,1510.2,1482.15,1505.45
1676332800,1505.65,1508.15,1494.7,1498.4
1676347200,1498.4,1508.0,1497.0,1506.3
1676361600,1506.5,1519.55,1497.55,1507.8
1676376000,1507.85,1566.65,1489.9,1544.7
1676390400,1544.95,1563.75,1534.4,1560.3
1676404800,1560.8,1563.8,1549.45,1555.5
1676419200,1555.65,1557.15,1542.5,1549.2
1676433600,1549.2,1552.4,1544.55,1547.45
1676448000,1547.65,1576.7,1544.8,1571.45
1676462400,1571.95,1590.55,1567.65,1579.55
1676476800,1579.15,1629.5,1573.55,1629.5
1676491200,1630.3,1678.7,1624.4,1674.8
1676505600,1675.05,1713.05,1672.95,1691.1
1676520000,1691.1,1697.5,1675.9,1682.65
1676534400,1683.15,1693.15,1679.3,1683.8
1676548800,1683.8,1727.45,1666.85,1724.55
1676563200,1724.0,1741.8,1688.55,1710.9
1676577600,1710.3,1711.1,1634.4,1638.3
1676592000,1638.3,1670.0,1631.65,1663.6
1676606400,1663.6,1665.55,1652.25,1653.5
1676620800,1653.75,1672.1,1650.4,1666.15
1676635200,1666.15,1682.05,1647.35,1672.8
1676649600,1672.75,1709.65,1662.2,1706.6
1676664000,1707.0,1721.7,1670.9,1693.95
1676678400,1693.45,1703.7,1692.1,1699.25
1676692800,1699.25,1703.7,1688.2,1691.25
1676707200,1691.2,1695.5,1686.6,1691.7
1676721600,1691.7,1700.0,1687.3,1696.2
1676736000,1695.5,1711.2,1683.5,1687.95
1676750400,1687.95,1693.3,1680.6,1691.6
1676764800,1691.6,1700.15,1689.5,1695.25
1676779200,1695.25,1709.6,1692.9,1693.5
1676793600,1693.8,1700.7,1691.3,1695.5
1676808000,1695.8,1721.95,1694.8,1711.0
1676822400,1711.5,1724.95,1676.9,1685.05
1676836800,1685.05,1689.25,1667.75,1680.95
1676851200,1680.55,1686.7,1652.65,1684.0
1676865600,1684.3,1697.85,1683.2,1695.5
1676880000,1695.55,1719.1,1688.9,1713.5
1676894400,1714.1,1716.1,1698.95,1707.25
1676908800,1707.45,1710.9,1686.7,1710.0
1676923200,1709.9,1710.55,1692.1,1703.8
1676937600,1703.8,1716.65,1697.9,1702.9
1676952000,1702.9,1708.1,1695.5,1704.25
1676966400,1704.4,1711.45,1668.05,1669.95
1676980800,1669.7,1684.8,1660.9,1672.6
1676995200,1672.5,1686.75,1656.6,1672.2
1677009600,1672.35,1674.6,1635.45,1659.65
1677024000,1659.5,1666.35,1622.4,1649.2
1677038400,1649.3,1649.8,1632.2,1643.85
1677052800,1643.75,1645.8,1625.7,1644.4
1677067200,1644.45,1649.85,1607.7,1614.1
1677081600,1613.55,1630.0,1598.15,1616.05
1677096000,1615.7,1645.2,1610.3,1642.95
1677110400,1643.0,1678.7,1637.2,1667.15
1677124800,1667.15,1671.25,1659.3,1666.35
1677139200,1666.2,1673.25,1632.6,1638.0
1677153600,1638.0,1671.7,1629.5,1656.1
1677168000,1656.0,1661.6,1637.45,1653.05
1677182400,1653.05,1658.5,1638.6,1650.75
1677196800,1650.75,1664.0,1646.2,1649.3
1677211200,1649.3,1656.25,1642.55,1651.65
1677225600,1651.65,1657.6,1643.1,1647.45
1677240000,1647.45,1654.5,1601.0,1603.55
1677254400,1603.4,1611.5,1574.95,1610.85
1677268800,1610.85,1622.55,1594.25,1607.7
1677283200,1607.75,1608.8,1595.8,1598.6
1677297600,1598.6,1604.3,1594.15,1603.9
1677312000,1603.9,1607.3,1596.5,1600.45
1677326400,1600.45,1604.0,1594.0,1597.25
1677340800,1597.25,1601.2,1575.8,1584.7
1677355200,1584.5,1597.45,1560.6,1594.4
1677369600,1594.3,1606.55,1588.45,1602.6
1677384000,1602.6,1603.2,1596.15,1599.8
1677398400,1599.95,1606.35,1597.15,1603.95
1677412800,1603.95,1613.95,1595.0,1604.95
1677427200,1604.95,1636.7,1598.55,1633.4
1677441600,1633.8,1650.0,1622.75,1641.4
1677456000,1641.35,1649.7,1632.05,1640.0
1677470400,1639.8,1640.35,1631.45,1636.2
1677484800,1636.35,1643.4,1632.35,1640.8
1677499200,1640.8,1664.55,1637.55,1643.85
1677513600,1644.35,1646.5,1616.05,1622.0
1677528000,1621.15,1636.6,1608.95,1633.5
1677542400,1633.45,1635.9,1626.95,1632.65
1677556800,1632.65,1632.65,1618.6,1619.4
1677571200,1619.15,1631.8,1616.5,1629.5
1677585600,1629.5,1647.0,1628.5,1641.0
1677600000,1641.0,1645.85,1622.5,1627.6
1677614400,1627.75,1632.65,1597.75,1605.35
1677628800,1605.65,1640.3,1596.2,1638.15
1677643200,1638.25,1661.55,1635.35,1651.0
1677657600,1650.7,1664.2,1649.0,1656.5
1677672000,1656.4,1669.6,1647.05,1657.3
1677686400,1657.3,1660.6,1631.6,1634.95
1677700800,1633.35,1666.4,1631.95,1665.15
1677715200,1665.2,1677.65,1644.5,1648.2
1677729600,1648.2,1652.05,1639.6,1644.7
1677744000,1644.7,1649.0,1638.3,1644.7
1677758400,1644.9,1645.3,1620.45,1628.25
1677772800,1628.25,1651.65,1622.0,1648.2
1677787200,1648.0,1657.65,1640.2,1648.05
1677801600,1648.0,1649.1,1520.55,1565.2
1677816000,1565.0,1576.25,1562.6,1567.8
