timestamp,open,high,low,close,volume
1651190400,2.0,3.279,1.993,2.0,2017999.5566
1651276800,2.0,2.0,1.83,1.871,481130.2667
1651363200,1.862,1.912,1.843,1.871,270497.0803
1651449600,1.871,1.886,1.802,1.831,321172.9198
1651536000,1.831,1.9,1.745,1.806,330653.1743
1651622400,1.806,1.98,1.759,1.944,487255.073
1651708800,1.945,1.958,1.839,1.853,467830.8231
1651795200,1.853,1.875,1.777,1.804,313721.4711
1651881600,1.809,1.84,1.743,1.761,215930.2133
1651968000,1.762,1.94,1.523,1.94,1291048.583
1652054400,1.94,1.992,1.701,1.706,1358135.7267
1652140800,1.706,1.82,1.617,1.753,852358.7188
1652227200,1.75,1.77,1.36,1.435,903509.3217
1652313600,1.435,1.55,1.299,1.516,1152422.4637
1652400000,1.516,1.8,1.49,1.538,799892.1422
1652486400,1.549,1.596,1.45,1.58,483182.4357
1652572800,1.58,1.664,1.494,1.659,697339.5933
1652659200,1.659,1.692,1.599,1.674,1190250.9333
1652745600,1.673,1.706,1.555,1.645,832438.512
1652832000,1.646,1.7,1.553,1.554,724872.0111
1652918400,1.553,1.603,1.532,1.542,419351.2283
1653004800,1.541,1.546,1.436,1.447,541225.3873
1653091200,1.447,1.459,1.409,1.428,583671.2224
1653177600,1.428,1.55,1.428,1.463,928777.2219
1653264000,1.463,1.464,1.353,1.367,739458.6757
1653350400,1.366,1.417,1.337,1.359,871521.3497
1653436800,1.36,1.4,1.316,1.375,549377.5722
1653523200,1.375,1.378,1.258,1.287,390675.5257
1653609600,1.286,1.324,1.214,1.218,361180.7233
1653696000,1.219,1.261,1.1,1.24,576330.9173
1653782400,1.24,1.263,1.137,1.259,759725.7984
1653868800,1.258,1.373,1.24,1.372,807031.1654
1653955200,1.371,1.419,1.352,1.368,505615.1082
1654041600,1.368,1.372,1.229,1.263,349361.0515
1654128000,1.262,1.268,1.2,1.227,279679.5512
1654214400,1.226,1.246,1.18,1.244,291667.3115
1654300800,1.244,1.284,1.24,1.272,220756.9509
1654387200,1.272,1.285,1.247,1.251,230394.9841
1654473600,1.249,1.341,1.232,1.313,471797.4089
1654560000,1.314,1.314,1.25,1.29,263154.4711
1654646400,1.29,1.294,1.25,1.251,188796.9239
1654732800,1.251,1.309,1.24,1.269,330784.4992
1654819200,1.269,1.272,1.232,1.243,281145.9012
1654905600,1.243,1.251,1.14,1.147,374337.6816
1654992000,1.146,1.162,1.073,1.08,520741.8998
1655078400,1.08,1.096,0.94,0.955,1027478.0482
1655164800,0.957,1.0,0.895,0.946,763270.3156
1655251200,0.947,0.958,0.822,0.922,1125377.7921
1655337600,0.92,0.944,0.825,0.839,717557.3342
1655424000,0.839,0.897,0.829,0.859,572742.9949
1655510400,0.859,0.874,0.734,0.814,699053.5138
1655596800,0.815,0.925,0.768,0.924,802624.5565
1655683200,0.925,1.113,0.905,1.09,1556452.2834
1655769600,1.089,1.14,1.05,1.091,608476.7931
1655856000,1.091,1.11,1.012,1.055,550242.5547
1655942400,1.055,1.1,1.052,1.093,404517.5369
1656028800,1.095,1.114,1.07,1.09,314440.5451
1656115200,1.091,1.095,1.05,1.081,203487.8144
1656201600,1.08,1.1,1.043,1.045,207142.7183
1656288000,1.045,1.365,1.042,1.268,1427669.2191
1656374400,1.268,1.45,1.204,1.297,1787367.0248
1656460800,1.299,1.355,1.205,1.209,718931.3517
1656547200,1.209,1.21,1.047,1.093,1200902.8668
1656633600,1.093,1.155,1.065,1.12,479352.8604
1656720000,1.121,1.145,1.096,1.105,443390.791
1656806400,1.105,1.107,1.066,1.086,263444.3167
1656892800,1.086,1.112,1.048,1.106,355556.9622
1656979200,1.105,1.109,1.033,1.051,364216.5435
1657065600,1.05,1.063,1.006,1.048,392808.1882
1657152000,1.049,1.124,1.033,1.063,529713.613
1657238400,1.063,1.088,1.047,1.064,408068.5362
1657324800,1.063,1.084,1.057,1.069,278981.2013
1657411200,1.069,1.076,1.044,1.055,258621.2147
1657497600,1.055,1.056,0.986,0.993,434451.7353
1657584000,0.993,0.994,0.935,0.941,630960.2075
1657670400,0.941,0.973,0.88,0.895,798443.3588
1657756800,0.895,0.94,0.879,0.936,620695.2499
1657843200,0.936,0.957,0.92,0.929,392777.6639
1657929600,0.929,0.952,0.9,0.947,378684.7985
1658016000,0.947,0.979,0.94,0.958,497095.9645
1658102400,0.958,1.009,0.922,0.963,769367.229
1658188800,0.963,0.98,0.929,0.957,805089.9153
1658275200,0.956,0.979,0.927,0.932,666333.9793
1658361600,0.933,0.945,0.902,0.908,393534.5049
1658448000,0.907,0.939,0.903,0.92,379692.6735
1658534400,0.919,0.935,0.901,0.911,243203.3676
1658620800,0.912,0.923,0.903,0.905,299984.6934
1658707200,0.907,0.912,0.849,0.851,528219.0461
1658793600,0.851,0.862,0.81,0.824,487150.491
1658880000,0.824,0.887,0.813,0.882,863945.5145
1658966400,0.882,0.921,0.854,0.888,1045128.7829
1659052800,0.888,0.918,0.878,0.897,646865.3746
1659139200,0.897,0.974,0.881,0.953,625123.9259
1659225600,0.954,1.023,0.94,0.982,604281.2398
1659312000,0.982,0.989,0.926,0.939,482299.8751
1659398400,0.939,0.949,0.909,0.94,529499.7473
1659484800,0.939,1.039,0.927,0.963,738515.3766
1659571200,0.963,0.985,0.871,0.963,1054356.3328
1659657600,0.963,1.049,0.962,1.044,629669.7097
1659744000,1.044,1.164,1.043,1.087,1428401.3793
1659830400,1.087,1.158,1.046,1.11,635161.1677
1659916800,1.109,1.229,1.104,1.212,793478.9032
1660003200,1.213,1.312,1.182,1.236,838030.1624
1660089600,1.236,1.276,1.196,1.211,497474.7117
1660176000,1.211,1.237,1.186,1.203,464168.9742
1660262400,1.204,1.252,1.2,1.251,238631.4651
1660348800,1.251,1.273,1.245,1.253,202827.4771
1660435200,1.253,1.27,1.234,1.249,181320.4461
1660521600,1.249,1.292,1.223,1.247,504252.4574
1660608000,1.247,1.252,1.2,1.234,502937.4195
1660694400,1.234,1.26,1.157,1.165,1050961.5844
1660780800,1.165,1.27,1.151,1.26,1083816.359
1660867200,1.26,1.264,1.104,1.165,1539741.47
1660953600,1.163,1.18,1.148,1.162,340031.4878
1661040000,1.163,1.173,1.141,1.162,191865.3743
1661126400,1.161,1.39,1.113,1.313,2116222.1989
1661212800,1.314,1.553,1.279,1.462,1896083.5795
1661299200,1.462,1.48,1.393,1.453,1203712.8143
1661385600,1.454,1.517,1.423,1.504,885366.4647
1661472000,1.503,1.504,1.335,1.343,1110524.044
1661558400,1.343,1.375,1.314,1.352,369534.1043
1661644800,1.352,1.369,1.332,1.333,308793.5685
1661731200,1.332,1.43,1.329,1.389,501068.5359
1661817600,1.389,1.486,1.369,1.461,817651.0169
1661904000,1.462,1.517,1.4,1.488,1098565.1013
1661990400,1.488,1.5,1.437,1.464,579051.5364
1662076800,1.464,1.492,1.446,1.475,426238.801
1662163200,1.475,1.49,1.44,1.465,356168.7845
1662249600,1.465,1.486,1.438,1.467,527955.5906
1662336000,1.467,1.697,1.44,1.676,1870634.7417
1662422400,1.676,1.78,1.612,1.638,1484470.0254
1662508800,1.637,2.22,1.637,1.848,5046029.9217
1662595200,1.849,2.029,1.801,1.838,1518771.8612
1662681600,1.839,1.9,1.829,1.879,895047.4292
1662768000,1.879,1.952,1.87,1.906,565284.059
1662854400,1.907,1.939,1.843,1.859,418659.7044
1662940800,1.86,1.887,1.787,1.843,611724.5228
1663027200,1.844,1.889,1.764,1.784,537285.2153
1663113600,1.784,1.81,1.705,1.722,569551.0035
1663200000,1.721,1.781,1.653,1.655,646846.5858
1663286400,1.655,1.7,1.631,1.639,518013.3796
1663372800,1.639,1.675,1.594,1.645,358225.1384
1663459200,1.646,1.646,1.571,1.578,341424.9005
1663545600,1.579,1.627,1.437,1.479,1039501.9409
1663632000,1.479,1.486,1.352,1.388,736864.06
1663718400,1.388,1.424,1.32,1.344,782706.3275
1663804800,1.343,1.494,1.32,1.469,683464.2172
1663891200,1.47,1.488,1.225,1.349,1182606.4419
1663977600,1.349,1.35,1.267,1.281,499589.2924
1664064000,1.28,1.313,1.247,1.263,477731.8099
1664150400,1.262,1.285,1.241,1.276,446346.3647
1664236800,1.276,1.343,1.25,1.296,699890.5119
1664323200,1.296,1.331,1.263,1.308,500491.4423
1664409600,1.309,1.315,1.275,1.298,387211.7679
1664496000,1.299,1.411,1.27,1.355,701904.3449
1664582400,1.356,1.398,1.329,1.387,299242.7686
1664668800,1.387,1.404,1.35,1.357,233918.5796
1664755200,1.357,1.391,1.326,1.343,369836.9145
1664841600,1.343,1.42,1.339,1.401,322564.6647
1664928000,1.401,1.439,1.382,1.405,286805.43
1665014400,1.405,1.417,1.379,1.386,240987.1804
1665100800,1.386,1.419,1.347,1.369,287549.671
1665187200,1.369,1.371,1.318,1.346,327003.5549
1665273600,1.345,1.359,1.302,1.32,438990.1324
1665360000,1.32,1.329,1.26,1.26,279006.0305
1665446400,1.26,1.264,1.235,1.241,295786.8595
1665532800,1.241,1.257,1.217,1.219,276481.4112
1665619200,1.22,1.242,1.173,1.198,529112.0165
1665705600,1.199,1.259,1.198,1.247,322201.2398
1665792000,1.247,1.251,1.222,1.238,139714.4603
