timestamp,open,high,low,close,volume
1640995200,109.46,114.54,108.48,114.22,499189.661787
1641081600,114.21,117.53,112.01,113.13,546082.810171
1641168000,113.05,114.24,105.99,108.08,632087.964311
1641254400,108.09,109.25,102.82,103.33,683952.397927
1641340800,103.33,106.58,90.35,97.43,1065841.451656
1641427200,97.43,97.99,91.06,95.13,868291.675121
1641513600,95.13,95.5,85.0,86.77,1360562.759087
1641600000,86.79,89.66,79.19,83.9,995999.208723
1641686400,83.88,91.86,82.46,89.33,927609.593689
1641772800,89.32,90.97,80.11,84.46,1282206.264089
1641859200,84.46,90.97,83.24,89.52,632801.794173
1641945600,89.58,96.88,88.83,95.99,815529.56085
1642032000,95.97,97.26,89.07,89.67,620067.001427
1642118400,89.66,91.75,87.25,90.37,532103.783618
1642204800,90.39,94.43,89.46,93.02,337791.617409
1642291200,93.01,94.88,91.83,92.26,310742.456782
1642377600,92.28,92.53,85.36,86.67,513676.782413
1642464000,86.7,87.4,83.7,86.0,455150.483579
1642550400,86.03,86.39,81.09,82.6,539680.212318
1642636800,82.59,87.75,78.65,79.25,460570.874321
1642723200,79.24,80.35,63.96,66.06,1709396.973185
1642809600,66.02,67.5,52.88,59.79,2634687.242473
1642896000,59.8,66.84,59.02,64.8,1416233.63435
1642982400,64.81,64.81,55.18,63.0,2032885.540291
1643068800,63.04,70.54,61.68,67.99,1334958.046681
1643155200,68.02,73.47,64.35,65.85,1804432.701967
1643241600,65.87,67.92,61.14,64.71,1435284.373378
1643328000,64.68,67.43,61.73,67.01,1017856.455216
1643414400,67.0,73.6,66.87,71.92,830733.737829
1643500800,71.91,72.39,66.88,67.97,588454.683899
1643587200,67.94,70.63,64.25,69.84,948942.83913
1643673600,69.88,73.87,68.5,73.32,1068826.427556
1643760000,73.33,74.89,67.46,67.81,1198073.93949
1643846400,67.83,69.3,65.02,68.47,918452.614095
1643932800,68.44,77.95,67.43,77.81,1228023.035581
1644019200,77.8,80.93,74.92,77.04,853709.446147
1644105600,77.03,79.21,74.14,78.92,516192.075937
1644192000,78.95,85.44,77.45,83.18,935550.37581
1644278400,83.21,93.37,81.64,86.32,1969442.464404
1644364800,86.37,92.05,84.43,89.98,1015666.130138
1644451200,90.03,95.02,85.06,91.12,1210537.639644
1644537600,91.16,92.66,79.98,81.74,1197105.464216
1644624000,81.74,84.79,78.69,81.29,1118870.177396
1644710400,81.3,83.3,77.55,77.89,691842.690496
1644796800,77.94,82.56,76.15,81.85,898126.977841
1644883200,81.84,93.69,81.4,92.97,976833.718027
1644969600,93.01,97.44,91.46,95.33,1346033.733189
1645056000,95.32,98.68,86.31,88.22,1545199.265513
1645142400,88.25,89.99,82.38,83.67,1144996.073275
1645228800,83.68,86.55,80.88,85.0,797362.840095
1645315200,85.02,86.83,76.55,77.34,1079119.52875
1645401600,77.33,82.7,69.4,70.05,1913144.925396
1645488000,70.04,74.95,67.15,74.41,1718085.817259
1645574400,74.42,82.5,73.27,73.47,1923821.844641
1645660800,73.45,80.0,64.49,76.42,4007553.513461
1645747200,76.4,81.95,72.69,80.98,2193891.033184
1645833600,80.99,84.94,78.03,81.78,1496663.526709
1645920000,81.8,82.34,73.08,75.05,1704239.709414
1646006400,75.05,85.88,71.75,84.54,1839845.808131
1646092800,84.54,90.81,83.57,86.89,2033045.509424
1646179200,86.91,89.94,82.31,83.33,1723784.983205
1646265600,83.36,84.32,77.08,78.49,1644738.056435
1646352000,78.46,82.22,74.9,75.78,2155071.731802
1646438400,75.79,78.71,73.26,76.68,1157967.831799
1646524800,76.68,77.09,72.1,72.47,1134920.297658
1646611200,72.5,76.51,70.33,71.68,1356273.087181
1646697600,71.67,76.58,71.16,72.99,1652659.775035
1646784000,73.03,80.5,72.34,77.6,1843655.88198
1646870400,77.6,78.98,71.46,73.9,1514155.025842
1646956800,73.92,76.97,70.76,71.2,1901728.896473
1647043200,71.2,73.6,70.73,70.93,751900.640639
1647129600,70.94,71.99,67.2,67.94,815531.686754
1647216000,67.91,71.49,65.54,68.95,1591135.161502
1647302400,68.97,72.26,66.03,69.81,963130.512448
1647388800,69.8,74.74,68.05,74.09,994118.818667
1647475200,74.07,81.75,73.16,79.4,1295135.930368
1647561600,79.4,86.93,76.46,85.69,1334960.589195
1647648000,85.72,92.37,85.57,89.54,1320954.480559
1647734400,89.51,89.95,84.34,84.83,976983.289034
1647820800,84.84,92.49,83.0,86.24,1300541.132872
1647907200,86.22,90.45,83.66,83.94,1197923.373198
1647993600,83.94,87.1,82.17,85.99,995957.466622
1648080000,85.98,88.25,83.61,87.58,1120609.393144
1648166400,87.57,87.78,82.31,83.53,1035170.74493
1648252800,83.54,86.76,82.43,85.88,511286.099046
1648339200,85.87,90.01,84.4,89.87,613257.270249
1648425600,89.87,96.22,88.58,89.52,1381405.877622
1648512000,89.53,96.51,89.3,92.76,1329399.339392
1648598400,92.77,100.48,89.47,95.59,1341961.495243
1648684800,95.59,101.95,93.73,97.42,2007268.321993
1648771200,97.41,99.77,90.25,96.86,1199926.746551
1648857600,96.8,103.62,95.68,96.2,1133512.377995
1648944000,96.22,100.11,94.4,98.04,863946.130137
1649030400,98.01,98.07,90.78,96.15,747472.720566
1649116800,96.15,97.67,90.56,91.03,707271.951517
1649203200,91.08,91.08,82.59,82.94,1333451.069489
1649289600,82.92,88.64,81.3,87.58,1177713.921248
1649376000,87.58,90.56,82.71,83.72,1085334.2311
1649462400,83.65,85.56,82.09,84.55,463653.606807
1649548800,84.56,85.63,80.72,81.02,392435.819234
1649635200,81.0,81.5,72.69,74.35,1063390.224337
1649721600,74.36,79.49,73.87,76.33,826324.165822
1649808000,76.34,80.64,75.8,80.19,663486.855744
1649894400,80.2,81.85,76.18,76.84,592800.718525
1649980800,76.83,78.54,74.76,77.45,374398.191337
1650067200,77.43,78.26,76.51,77.77,170316.381734
1650153600,77.75,78.68,75.1,75.41,222802.883313
1650240000,75.41,77.96,71.74,77.73,483032.712814
1650326400,77.72,81.09,76.81,80.27,336069.164783
1650412800,80.26,81.3,77.42,78.23,415550.496149
1650499200,78.22,80.16,74.09,75.0,368473.483845
1650585600,75.01,77.17,73.34,74.03,382573.785108
1650672000,74.02,74.45,72.39,72.85,237234.187313
1650758400,72.84,73.46,71.01,71.49,224221.193271
1650844800,71.49,72.98,67.35,72.88,638497.180522
1650931200,72.91,73.17,67.52,68.71,402138.623974
1651017600,68.71,71.97,68.32,69.87,346439.310466
1651104000,69.85,70.73,66.63,67.28,417075.501377
1651190400,67.27,67.99,62.2,63.4,411975.482829
1651276800,63.4,64.63,55.0,56.96,593499.44885
1651363200,56.94,61.14,56.28,58.75,679170.542312
1651449600,58.74,62.46,56.75,60.36,1014782.760601
1651536000,60.36,62.55,58.11,59.62,614509.136325
